can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$17,664.84 ",2/17/16,"$9,548,524.18 ",Oppose,Media production,McCarthy Hennings Whalen Inc.,1050017,N,1,2.01602E+17,2/17/16, ,2/16/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$165,440.00 ",2/16/16,"$9,530,859.34 ",Support,Media Placement - also opposes Kasich and Rubio,Oath Strategies LLC,1050016,N,1,2.01602E+17,2/17/16, ,2/16/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$35,075.00 ",2/16/16,"$9,365,419.34 ",Support,Media Placement - also opposes Kasich and Rubio,Oath Strategies LLC,1050015,N,1,2.01602E+17,2/17/16, ,2/16/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$2,950.00 ",2/16/16,"$9,330,344.34 ",Oppose,Media production,Richard Quinn & Associates,1050014,N,1,2.01602E+17,2/17/16, ,2/16/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$88,260.78 ",2/12/16,"$9,327,394.34 ",Support,Direct mail postage,Redwave Communications LLC,1050011,N,4,2.01602E+17,2/17/16, ,2/16/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$68,156.94 ",2/12/16,"$9,239,133.56 ",Support,Direct mail production,Redwave Communications LLC,1050011,N,3,2.01602E+17,2/17/16, ,2/16/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$88,260.78 ",2/12/16,"$9,170,976.62 ",Oppose,Direct mail postage,Redwave Communications LLC,1050011,N,2,2.01602E+17,2/17/16, ,2/16/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$68,164.17 ",2/12/16,"$9,082,715.84 ",Oppose,Direct mail production,Redwave Communications LLC,1050011,N,1,2.01602E+17,2/17/16, ,2/16/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$2,379.00 ",2/16/16,"$9,014,551.67 ",Support,Media Production - also opposes Trump,Revolution Agency,1049709,N,1,2.01602E+17,2/16/16, ,2/15/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$10,028.00 ",2/16/16,"$9,012,172.67 ",Support,Printing,Richard Quinn & Associates,1049708,N,1,2.01602E+17,2/16/16, ,2/15/16
